No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,TELÉFONO DEL PARQUE,CORREO INSTITUCIONAL
49,07 - BOSA,ZONAL,AUTOPISTA SUR (PAVCO),Carrera 72 con Calle 57r Sur,,pavco@idrd.gov.co
50,07 - BOSA,ZONAL,CAMPO VERDE,Carrera 91 # 83-85 S,,
51,07 - BOSA,ZONAL,CLARELANDIA,Calle 58J Sur #80D-10,(601)7808922,clarelandia@idrd.gov.co
52,07 - BOSA,METROPOLITANO,EL RECREO,Carrera 102 con Calle 69a Sur,,elrecreo@idrd.gov.co
53,07 - BOSA,ZONAL,LAURELES NARANJOS,Carrera 80k con Calle 70 Bis Sur,(601)7765644,laurelesnaranjos@idrd.gov.co
54,07 - BOSA,ZONAL,PALESTINA,Calle 68 Sur #81G-09,(601)7780392,lapalestina@idrd.gov.co
55,07 - BOSA,ZONAL,PARQUE DEL RIO (SAN JOSE DE MARYLAND),"Calle 77 Sur con Calle 81 Sur, Bosa",,sanjose.maryland@idrd.gov.co
56,07 - BOSA,METROPOLITANO,PORVENIR,Calle 54 Sur #98-32,,porvenirbosa@idrd.gov.co
57,07 - BOSA,ZONAL,TIBANICA,Calle 74 Sur #77G-05,,tibanica@idrd.gov.co
58,07 - BOSA,METROPOLITANO,TIMIZA (SECTOR VILLA DEL RIO),Calle 55A Sur #66-50,,pmtimizavilladelrio@idrd.gov.co
59,07 - BOSA,VECINAL,URBANIZACIÓN CHICALA LOTE A,Calle 55 Sur #86A-22,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
60,07 - BOSA,ZONAL,URBANIZACION LA ESPERANZA,Carrera 80J #75 Sur 40,,parque.laesperanza@idrd.gov.co
61,07 - BOSA,VECINAL,URBANIZACIÓN PORTAL DEL SOL,Carrera 98B #73-80 sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
62,07 - BOSA,VECINAL,URBANIZACIÓN SANTIAGO DE ATALAYAS,Carrera 98D con Calle 61a Sur Con,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
63,08 - KENNEDY,ZONAL,BELLAVISTA DINDALITO,Carrera 94c #42-17,(601)7369098,dindalito@idrd.gov.co
64,08 - KENNEDY,METROPOLITANO,BIBLIOTECA EL TINTAL,Carrera 87a #6a-50,,tintal@idrd.gov.co
65,08 - KENNEDY,VECINAL,CARVAJAL,Calle 24A Sur #70-15,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
66,08 - KENNEDY,ZONAL,CASTILLA,Carrera 74 con Calle 8a Bis,(601)4114864,castilla@idrd.gov.co
67,08 - KENNEDY,METROPOLITANO,CAYETANO CAÑIZARES,AV. Agoberto Mejía con Calle 38 Sur,(601)2992550,cayetano.canizares@idrd.gov.co
68,08 - KENNEDY,METROPOLITANO,EL PORVENIR (GIBRALTAR),Calle 49 sur con carrera 91,,pmporvenirgibraltar@idrd.gov.co
69,08 - KENNEDY,ESCENARIO DEPORTIVO,ESTADIO DE TECHO,Carrera 71D #2A-04,(601)2605743,techo@idrd.gov.co
70,08 - KENNEDY,ZONAL,GILMA JIMENEZ (LAS MARGARITAS),Diagonal 49 Sur con Carrera 85,(601)4512099,gilma.jimenez@idrd.gov.co
71,08 - KENNEDY,VECINAL,LA ALEJANDRA,Carrera 72 I con Calle 42 Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
72,08 - KENNEDY,ZONAL,LA AMISTAD,Transversal 78j #10-00,(601)2645100,laamistad@idrd.gov.co
73,08 - KENNEDY,ZONAL,LA IGUALDAD,Carrera 68F #3A-30,,laigualdad@idrd.gov.co
74,08 - KENNEDY,VECINAL,LAGO TIMIZA I ETAPA,Carrera 73a con Calle 43 Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
75,08 - KENNEDY,VECINAL,LAS AMÉRICAS OCCIDENTAL IV ETAPA,Calle 2a Sur #72B-11,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
76,08 - KENNEDY,VECINAL,LAS LUCES Y VILLA RICA,Calle 52A Sur #77J-20,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
77,08 - KENNEDY,ZONAL,MARSELLA,Carrera 69 #7-12,,marsella@idrd.gov.co
78,08 - KENNEDY,ZONAL,PATIO BONITO,Carrera 88D con Calle 34 Bis A Sur,(601)4518190,patiobonito@idrd.gov.co
79,08 - KENNEDY,VECINAL,PRIMAVERA,Carrera 90A #2-39,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
80,08 - KENNEDY,ZONAL,SAN IGNACIO,Carrera 94 con Calle 6c,,sanignacio@idrd.gov.co
81,08 - KENNEDY,METROPOLITANO,TIMIZA,Calle 40H Sur #72R-31,(601)2658345,timiza@idrd.gov.co
82,08 - KENNEDY,METROPOLITANO,TIMIZA II,Calle 40H Sur #72R-31,(601)2658345,timiza@idrd.gov.co
83,08 - KENNEDY,VECINAL,VILLA ALSACIA,Transversla 74 #11A-96,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
84,08 - KENNEDY,VECINAL,VILLA DE LOS SAUCES,Calle 58b Bis Sur con Carrera 77i Bis,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
85,09 - FONTIBÓN,ZONAL,ATAHUALPA,Carrera 113 #23C-21,(601)4153861,atahualpa@idrd.gov.co
86,09 - FONTIBÓN,ZONAL,CANAL BOYACA,Avenida Calle 24 #73A-01,,canalboyaca@idrd.gov.co
87,09 - FONTIBÓN,VECINAL,CARLOS LLERAS (EL FUEGO),Calle 23c #69F-20,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
88,09 - FONTIBÓN,ZONAL,CARMEN DE LA LAGUNA,Diagonal 16F BIS #104A-15,,carmendelalaguna@idrd.gov.co
89,09 - FONTIBÓN,VECINAL,MODELIA SECTOR A,Carrera 81 C #24C-50,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
90,09 - FONTIBÓN,ZONAL,SAUZALITO,"Carrera 69 #23C-36, Bogotá",(601)4296617,sauzalito@idrd.gov.co
91,09 - FONTIBÓN,VECINAL,"URBANIZACIÓN CIUDAD HAYUELOS ETAPAS II, III, IV Y V",Carrera 81b #19b-06,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
92,09 - FONTIBÓN,VECINAL,VILLA HELENA VILLEMAR,Carrera 96G #20A-35,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
93,09 - FONTIBÓN,METROPOLITANO,ZONA FRANCA,Calle 13d #106-50,,zonafranca@idrd.gov.co
94,10 - ENGATIVÁ,ZONAL,BONANZA,Carrera 70F #75-80,,bonanza@idrd.gov.co
95,10 - ENGATIVÁ,ZONAL,EL CARMELO,Carrera 101A #71B-05,,elcarmelo@idrd.gov.co
96,10 - ENGATIVÁ,VECINAL,FLORENCIA LOS TRONQUITOS AGRUPACIÓN DE VIVIENDA FLORENCIA II SECTOR,Carrera 90 Bis #75C-65,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
97,10 - ENGATIVÁ,ZONAL,JUAN AMARILLO,Avenida Calle 90 #110-04,(601)4413805 - (601)4413806,juanamarillo@idrd.gov.co
98,10 - ENGATIVÁ,REGIONAL,LA FLORIDA,"Reserva de avistamiento de aves La Florida, Cota, Cundinamarca",(601)4336241,florida@idrd.gov.co
99,10 - ENGATIVÁ,ZONAL,LA SERENA,Calle 90A #85-70,(601)4368664,laserena@idrd.gov.co
100,10 - ENGATIVÁ,METROPOLITANO,PLANTA DE TRATAMIENTO SALITRE,Calle 80 con Conexión Lisboa-Calle 80,,plantatratamientosalitre@idrd.gov.co
101,10 - ENGATIVÁ,ZONAL,SAN ANDRÉS,Calle 82 #101-01,(601)4335551,sanandres@idrd.gov.co
102,10 - ENGATIVÁ,ZONAL,TABORA,Calle 74 #76-62,(601)4300919,tabora@idrd.gov.co
103,10 - ENGATIVÁ,ESCENARIO DEPORTIVO,UNIDAD DEPORTIVA EL SALITRE SIMON BOLIVAR,"Avenida Calle 63 #68-80, Bogotá",(601)2310762,unidaddeportivaelsalitre@idrd.gov.co
104,10 - ENGATIVÁ,VECINAL,URBANIZACIÓN BACHUE PRIMERA ETAPA,Calle 90A #95-68,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
105,10 - ENGATIVÁ,VECINAL,URBANIZACIÓN CIUDAD HONDA,Carrera 68H #64F-72,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
106,10 - ENGATIVÁ,VECINAL,URBANIZACIÓN EL MADRIGAL PRIMER SECTOR,Carrera 99b #76b-06,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
107,10 - ENGATIVÁ,VECINAL,URBANIZACIÓN FLORENCIA I SECTOR,Calle 75B #87-15,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
108,10 - ENGATIVÁ,VECINAL,URBANIZACIÓN LA EUROPA,Calle 68 Bis #71-51,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
109,10 - ENGATIVÁ,VECINAL,URBANIZACIÓN NORMANDIA I II II Y IV SECTOR,Carrera 111a con Calle 90,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
110,10 - ENGATIVÁ,ZONAL,VILLA LUZ,Carrera 80A #64A-30,,villaluz@idrd.gov.co
111,10 - ENGATIVÁ,ZONAL,VILLAS DE GRANADA,Carrera 111 BIS #77-31,,villasdegranada@idrd.gov.co
112,11 - SUBA,VECINAL,AGRUPACIÓN DE VIVIENDA EN BALCON DE LINDARAJA,Carrera 78 #127B-67,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
113,11 - SUBA,ZONAL,ATABANZA,Calle 127A #49-65,,atabanza@idrd.gov.co
114,11 - SUBA,VECINAL,BERLIN,Calle 139 #144A-28,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
115,11 - SUBA,ZONAL,CAFAM II GAVILANES - CIUDADELA CAFAM II PREDIO LOS GAVILANES,Carrera 143 #142A-63,,cafamgavilanes@idrd.gov.co
116,11 - SUBA,ZONAL,CANAL CORDOBA,Carrera 54B #118-03,,canalcordoba@idrd.gov.co
117,11 - SUBA,ZONAL,CASA BLANCA,Carrera 80 #145-65,,casablanca@idrd.gov.co
118,11 - SUBA,METROPOLITANO,CEFE COMETAS,Calle 127A #81-26,,cometas@idrd.gov.co
119,11 - SUBA,ZONAL,CEFE FONTANAR DEL RIO,Calle 145 #141a-1,(601)4413801 - (601)4413802,cefe.fontanar@idrd.gov.co
120,11 - SUBA,VECINAL,CIUDADELA CAFAM ANTES URBANIZACIÓN PUERTO SOL,Carrera 113C #142A-53,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
121,11 - SUBA,VECINAL,DESARROLLO BILBAO SEGUNDO SECTOR,Carrera 151A #142C-14,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
122,11 - SUBA,VECINAL,DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,Calle 160 #55-50,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
123,11 - SUBA,ZONAL,EL TOMILLAR,Carrera 76 # 147-40,,eltomillar@idrd.gov.co
124,11 - SUBA,ZONAL,FONTANAR DEL RIO,Calle 145 #141a-1,,fontanardelrio@idrd.gov.co
125,11 - SUBA,ZONAL,LA GAITANA,Carrera 125B #131A-09,(601)6883653,gaitana@idrd.gov.co
126,11 - SUBA,ZONAL,MORATO,Calle 107 #70A-34,,morato@idrd.gov.co
127,11 - SUBA,ZONAL,NIZA XII,Carrera 57 #119A-60,,nizaxii@idrd.gov.co
128,11 - SUBA,METROPOLITANO,PARQUE COMETAS,Calle 127A #81-26,,cometas@idrd.gov.co
129,11 - SUBA,VECINAL,PRADO PINZÓN,Calle 143 #49-38,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
130,11 - SUBA,ZONAL,SAN JOSÉ DE BAVARIA,Calle 169B #67-50,,sanjosebavaria@idrd.gov.co
131,11 - SUBA,ZONAL,TIBABUYES,Calle 139 #127C-48,(601)6976713,tibabuyes@idrd.gov.co
132,11 - SUBA,VECINAL,URBANIZACIÓN BURGOS BRITALIA 1,Carrera 73 #160-44,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
133,11 - SUBA,VECINAL,URBANIZACIÓN LOMBARDIA II ETAPA,Calle 143 #109b-9,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
134,11 - SUBA,VECINAL,URBANIZACIÓN MAZUREN I SECTOR,Calle 152 #50-02,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
135,11 - SUBA,VECINAL,URBANIZACIÓN NUEVA TIBABUYES 1,Calle 130C #121C-99,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
136,11 - SUBA,VECINAL,URBANIZACIÓN VALLE DE REFOUS,Carrera 101 #148-81,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
137,11 - SUBA,VECINAL,URBANIZACIÓN VICTORIA NORTE,Calle 152 #50-10,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
138,11 - SUBA,VECINAL,URBANIZACIÓN VILANOVA,Carrera 54D #183-71,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
139,12 - BARRIOS UNIDOS,ZONAL,ALCAZARES,Calle 71 #24-10,,alcazares@idrd.gov.co
140,12 - BARRIOS UNIDOS,ZONAL,CANAL RIO NEGRO,Calle 94 #65A-29,,canalrionegro@idrd.gov.co
141,12 - BARRIOS UNIDOS,ESCENARIO DEPORTIVO,COMPLEJO ACUATICO,Avenida Calle 63 #50-72,(601)2210622,complejoacuatico@idrd.gov.co
142,12 - BARRIOS UNIDOS,ZONAL,GIMNASIO DEL NORTE,Calle 63C #27A-51,(601)3475560,gimnasiodelnorte@idrd.gov.co
143,12 - BARRIOS UNIDOS,ZONAL,LA ESTACIÓN,Avenida Calle 72 No 23-40,,laestacion@idrd.gov.co
144,12 - BARRIOS UNIDOS,ESCENARIO DEPORTIVO,PALACIO DE LOS DEPORTES,Avenida Calle 63 #54A-06,(601)2405826,palaciodelosdeportes@idrd.gov.co
145,12 - BARRIOS UNIDOS,METROPOLITANO,PARQUE DE LOS NIÑOS,Avenida Calle 63 #60-40,,parquedelosninos@idrd.gov.co
146,12 - BARRIOS UNIDOS,METROPOLITANO,PARQUE DE LOS NOVIOS,Avenida Calle 63 #45-10,3161494292,novios@idrd.gov.co
147,12 - BARRIOS UNIDOS,METROPOLITANO,PISTA DE BMX PRD,Carrera 60 #63-63,,bmxsalitre@idrd.gov.co
148,12 - BARRIOS UNIDOS,METROPOLITANO,PRD EL SALITRE - UCAD,Carrera 60 #63-63,(601)6600670 - (601)6600672 - (601)6605400 ext. 1202/1203,recreodeportivo@idrd.gov.co
149,12 - BARRIOS UNIDOS,METROPOLITANO,SIMÓN BOLÍVAR (SECTOR PLAZA DE ARTESANOS),Cra. 60 #63A-52,,plazadelosartesanos@idrd.gov.co
150,12 - BARRIOS UNIDOS,VECINAL,URBANIZACIÓN METROPOLIS,Calle 74A #66-1,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
151,13 - TEUSAQUILLO,VECINAL,ARENA MOVISTAR,Avenida Carrera 30 #57A-96,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
152,13 - TEUSAQUILLO,ESCENARIO DEPORTIVO,EL CAMPINCITO - CEAD,Avenida Carrera 30 #53B-50,,campincitoCEAD@idrd.gov.co
153,13 - TEUSAQUILLO,ESCENARIO DEPORTIVO,ESTADIO NEMECIO CAMACHO EL CAMPIN,Avenida Carrera 30 #53B-50,(601)2112700 - (601)2353274 - (601)2356311 - (601)2356577 - (601)2499894,estadioelcampin@idrd.gov.co
154,13 - TEUSAQUILLO,ZONAL,NICOLAS DE FEDERMAN 3,Carrera 45 #58A-10,,nicolasdefederman@idrd.gov.co
155,13 - TEUSAQUILLO,METROPOLITANO,PARQUE CENTRAL SIMÓN BOLÍVAR,Carrera 60 #57-85,(601)6600155,simonbolivar@idrd.gov.co
156,13 - TEUSAQUILLO,VECINAL,SANTA CLARA,Carrera 45 #22-63,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
157,13 - TEUSAQUILLO,VECINAL,URBANIZACIÓN SALITRE (GRECO),Carrera 66B #42-51,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
158,13 - TEUSAQUILLO,METROPOLITANO,VIRGILIO BARCO,Carrera 60 #57-60,(601)2228715,virgiliobarco@idrd.gov.co
159,14 - MÁRTIRES,ZONAL,EDUARDO SANTOS,Calle 4A Bis #18B-30,(601)2011615,eduardosantos@idrd.gov.co
160,14 - MÁRTIRES,METROPOLITANO,EL RENACIMIENTO - PARQUE CEMENTERIO CENTRAL,Avenida Calle 26 #19B-55,(601)3409501,renacimiento@idrd.gov.co
161,14 - MÁRTIRES,VECINAL,PEPITA,Calle 10 #25A-46,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
162,14 - MÁRTIRES,METROPOLITANO,RECONCILIACIÓN,Carrera 19b #24-20,,reconciliacion@idrd.gov.co
163,14 - MÁRTIRES,ZONAL,SANTA ISABEL,Calle 1G #28-40,,santaisabel@idrd.gov.co
164,15 - ANTONIO NARIÑO,ZONAL,CIUDAD JARDIN,Calle 11 Sur #10-61,,ciudadjardin@idrd.gov.co
165,15 - ANTONIO NARIÑO,ZONAL,LA FRAGUA,Calle 15 Sur #29-52,(601)7207049,lafragua@idrd.gov.co
166,15 - ANTONIO NARIÑO,VECINAL,LUNA PARK,Calle 12A Sur #14A-41,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
167,15 - ANTONIO NARIÑO,VECINAL,SANTA ISABEL,Calle 12A Sur #29-2,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
168,15 - ANTONIO NARIÑO,ZONAL,VILLA MAYOR CEMENTERIO,Calle 36 Sur #34b-20,,villamayor@idrd.gov.co
169,16 - PUENTE ARANDA,VECINAL,CANCHA BOCHICA,Carrera 37 #1H-40,,reservascanchas.alcaldiamayor@idrd.gov.co
170,16 - PUENTE ARANDA,ZONAL,CIUDAD MONTES,Calle 10 Sur #38A-25,(601)2030025 - (601)2030131 - (601)2026490 - (601)7137911,ciudad.montes@idrd.gov.co
171,16 - PUENTE ARANDA,ZONAL,EL JAZMIN,Calle 1G #41A-13,(601)7271055,eljazmin@idrd.gov.co
172,16 - PUENTE ARANDA,VECINAL,GORGONZOLA,Calle 4F #40-50,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
173,16 - PUENTE ARANDA,ZONAL,INDUSTRIAL LOS EJIDOS,Calle 11A #36-08,,industriallosejidos@idrd.gov.co
174,16 - PUENTE ARANDA,ZONAL,MILENTA TEJAR SAN EUSEBIO,Calle 20 Sur #52A-06,,milentatejar@idrd.gov.co
175,16 - PUENTE ARANDA,ZONAL,PARQUE INDUSTRIAL LOS EJIDOS,Avenida Carrera 36 #9-55,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
176,16 - PUENTE ARANDA,ESCENARIO DEPORTIVO,UNIDAD DEPORTIVA ESTADIO LA ALQUERÍA,Carrera 52b #42B-02,(601)2049630,laalqueria@idrd.gov.co
177,16 - PUENTE ARANDA,VECINAL,URBANIZACIÓN PRADERA SUR,Carrera 65 #3-31,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
178,16 - PUENTE ARANDA,VECINAL,URBANIZACIÓN PRIMAVERA NORTE,Transversal 42A #4B-95,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
179,16 - PUENTE ARANDA,ZONAL,VERAGUAS,Avenida Carrera 36 #2B-52,,veraguas@idrd.gov.co
180,17 - LA CANDELARIA,ZONAL,LA CONCORDIA,Carrera 1 #12b-90,,laconcordia@idrd.gov.co
181,18 - RAFAEL URIBE,METROPOLITANO,BOSQUES DE SAN CARLOS,Calle 34 Sur #12-96,(601)3727664,bosquedesancarlos@idrd.gov.co
182,18 - RAFAEL URIBE,VECINAL,DESARROLLO PALERMO SUR,Calle 51 Sur con Carrera 1 Este,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
183,18 - RAFAEL URIBE,ZONAL,DIANA TURBAY,Carrera 2A Este #0 Este-18,,dianaturbay@idrd.gov.co
